species;substances;substancess_reference;family;family_reference
Cladonia staufferi;conpsoromic acid, psoromic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia stellaris;usnic;italic;Cladoniaceae;gbif
Cladonia stellaris;perlatolic acid;lias;Cladoniaceae;gbif
Cladonia stereoclada;fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia steyermarkii;decarboxythamnolic acid, squamatic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia stipitata;atranorin, fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia straminea;rhodocladonic acid, usnic;italic;Cladoniaceae;gbif
Cladonia strangulata;atranorin, fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia strepsilis;4-o-demethylbarbatic acid, baeomycesic acid, barbatic acid, squamatic acid, strepsilin, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia stricta;atranorin, fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia stygia;atranorin;italic;Cladoniaceae;gbif
Cladonia stygia;atranorin, fumarprotocetraric acid, unknown/unidentified compound(s), unknown/unidentified fatty acid(s);lias;Cladoniaceae;gbif
Cladonia subcervicornis;atranorin, fumarprotocetraric acid;italic;Cladoniaceae;gbif
Cladonia subcervicornis;atranorin, fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia subdelicatula;barbatic acid, decarboxythamnolic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia subfimbriata;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia subfurcata;squamatic acid;italic;Cladoniaceae;gbif
Cladonia subincrassata;usnic acid, zeorin (hopane-6α,22-diol);lias;Cladoniaceae;gbif
Cladonia subminiata;condidymic acid, didymic acid, fumarprotocetraric acid, rhodocladonic acid, subdidymic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia subradiata;atranorin, confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, norstictic acid, protocetraric acid, stictic acid, ursolic acid;lias;Cladoniaceae;gbif
Cladonia subrangiformis;atranorin, fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia subreticulata;confumarprotocetraric acid, connorstictic acid, constictic acid, cryptostictic acid, fumarprotocetraric acid, isousnic acid, norstictic acid, protocetraric acid, stictic acid, unknown/unidentified compound(s), unknown/unidentified fatty acid(s), usnic acid, zeorin (hopane-6α,22-diol);lias;Cladoniaceae;gbif
Cladonia subsquamosa;confumarprotocetraric acid, constictic acid, convirensic acid, cryptostictic acid, fumarprotocetraric acid, norstictic acid, protocetraric acid, stictic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia substellata;connorstictic acid, constictic acid, cryptostictic acid, fumarprotocetraric acid, norstictic acid, stictic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia subtenuis;atranorin, confumarprotocetraric acid, isousnic acid, protocetraric acid, unknown/unidentified compound(s), unknown/unidentified fatty acid(s), ursolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia subtenuis;atranorin, confumarprotocetraric acid, isousnic acid, protocetraric acid, unknown/unidentified compound(s), unknown/unidentified fatty acid(s), ursolic acid;lias;Cladoniaceae;gbif
Cladonia subulata;fumarprotocetraric acid;italic;Cladoniaceae;gbif
Cladonia subulata;fumarprotocetraric acid, quaesitic acid;lias;Cladoniaceae;gbif
Cladonia sufflata;decarboxythamnolic acid, thamnolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia sulcata;atranorin, bourgeanic acid, conpsoromic acid, constictic acid, cryptostictic acid, norstictic acid, psoromic acid, stictic acid;lias;Cladoniaceae;gbif
Cladonia sulphurina;rhodocladonic acid, usnic;italic;Cladoniaceae;gbif
Cladonia sulphurina;bellidiflorin, consquamatic acid, rhodocladonic acid, squamatic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia symphoriza;4-o-demethylbarbatic acid, barbatic acid, condidymic acid, didymic acid, fumarprotocetraric acid, rhodocladonic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia symphycarpa;atranorin, confumarprotocetraric acid, connorstictic acid, conpsoromic acid, fumarprotocetraric acid, norstictic acid, protocetraric acid, psoromic acid;lias;Cladoniaceae;gbif
Cladonia tachirae;condidymic acid, decarboxythamnolic acid, didymic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia tenerrima;fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia tessellata;atranorin, bourgeanic acid, confumarprotocetraric acid, fumarprotocetraric acid, homosekikaic acid, protocetraric acid, psoromic acid;lias;Cladoniaceae;gbif
Cladonia testaceopallens;confumarprotocetraric acid, convirensic acid, fumarprotocetraric acid, protocetraric acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia thiersii;thamnolic acid;lias;Cladoniaceae;gbif
Cladonia transcendens;decarboxythamnolic acid, skyrin (rhodophyscin), thamnolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia trassii;atranorin;italic;Cladoniaceae;gbif
Cladonia turgida;atranorin;italic;Cladoniaceae;gbif
Cladonia turgidior;decarboxythamnolic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia umbellata;norstictic acid;lias;Cladoniaceae;gbif
Cladonia umbricola;rhodocladonic acid, squamatic acid;italic;Cladoniaceae;gbif
Cladonia umbricola;decarboxythamnolic acid, squamatic acid, thamnolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia uncialis;usnic;italic;Cladoniaceae;gbif
Cladonia uncialis;usnic, usnic acid;italic;Cladoniaceae;gbif
Cladonia uncialis;squamatic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia uncialis;squamatic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia usambarensis;barbatic acid, thamnolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia vareschii;barbatic acid, decarboxythamnolic acid, thamnolic acid, unknown/unidentified compound(s), usnic acid;lias;Cladoniaceae;gbif
Cladonia varians;barbatic acid, thamnolic acid, usnic acid;lias;Cladoniaceae;gbif
Cladonia variegata;4-o-demethylbarbatic acid, barbatic acid, decarboxythamnolic acid, thamnolic acid, unknown/unidentified compound(s);lias;Cladoniaceae;gbif
Cladonia verruculosa;fumarprotocetraric acid;lias;Cladoniaceae;gbif
Cladonia verticillaris;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid;lias;Cladoniaceae;gbif
Cladonia verticillata;fumarprotocetraric acid;italic;Cladoniaceae;gbif
Cladonia weymouthii;barbatic acid, didymic acid, rhodocladonic acid, thamnolic acid;lias;Cladoniaceae;gbif
Cladonia zopfii;usnic;italic;Cladoniaceae;gbif
Cladonia zopfii;usnic acid;lias;Cladoniaceae;gbif
Clauzadeana macula;argopsin;italic;Lecanoraceae;gbif
Clauzadeana macula;argopsin;lias;Lecanoraceae;gbif
Cliostomum coppinsii;atranorin, stictic acid, usnic acid;lias;Ramalinaceae;gbif
Cliostomum corrugatum;atranorin, usnic;italic;Ramalinaceae;gbif
Cliostomum corrugatum;usnic acid;lias;Ramalinaceae;gbif
Cliostomum falklandicum;atranorin;lias;Ramalinaceae;gbif
Cliostomum flavidulum;atranorin;italic;Ramalinaceae;gbif
Cliostomum flavidulum;atranorin, fumarprotocetraric acid;lias;Ramalinaceae;gbif
Cliostomum griffithii;atranorin, chloroatranorin, roccellic acid, usnic;italic;Ramalinaceae;gbif
Cliostomum griffithii;atranorin, roccellic acid;lias;Ramalinaceae;gbif
Cliostomum haematommatis;atranorin, o-methylperlatolic acid;italic;Ramalinaceae;gbif
Cliostomum leprosum;atranorin, usnic;italic;Ramalinaceae;gbif
Cliostomum praepallidum;atranorin, norcaperatic acid, roccellic acid;lias;Ramalinaceae;gbif
Coccocarpia erythroxili;atranorin;lias;Coccocarpiaceae;gbif
Coccotrema citrinescens;cryptostictic acid, stictic acid;lias;Coccotremataceae;gbif
Coccotrema hahriae;connorstictic acid, cryptostictic acid, menegazziaic acid, norstictic acid, stictic acid;lias;Coccotremataceae;gbif
Coelopogon abraxas;epiphorellic acid 1, epiphorellic acid 2, unknown/unidentified fatty acid(s);lias;Parmeliaceae;gbif
Coelopogon epiphorellus;epiphorellic acid 1, epiphorellic acid 2, unknown/unidentified fatty acid(s);lias;Parmeliaceae;gbif
Coniarthonia erythrocarpa;unknown/unidentified pigment(s);lias;Arthoniaceae;gbif
Coniarthonia gregarina;unknown/unidentified pigment(s);lias;Arthoniaceae;gbif
Coniarthonia haematodea;unknown/unidentified pigment(s);lias;Arthoniaceae;gbif
Coniarthonia pulcherrima;chiodectonic acid;lias;Arthoniaceae;gbif
Coniarthonia pyrrhula;unknown/unidentified pigment(s);lias;Arthoniaceae;gbif
Coniarthonia wilmsiana;unknown/unidentified pigment(s);lias;Arthoniaceae;gbif
Coppinsiella fiumana;emodin, fallacinal, parietin, parietinic acid, teloschistin;italic;Teloschistaceae;gbif
Coronoplectrum namibicum;atranorin, hypostictic acid, stictic acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Parmeliaceae;gbif
Cratiria aggrediens;3-o-methylthiophanic acid, 4,5-dichloronorlichexanthone, 6-o-methylarthothelin, arthothelin, connorstictic acid, norstictic acid, thiophanic acid, thuringione;lias;Caliciaceae;gbif
Cratiria americana;atranorin, connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Cratiria melanochlora;3-o-methylthiophanic acid, 4,5-dichloronorlichexanthone, 6-o-methylarthothelin, arthothelin, connorstictic acid, norstictic acid, thiophanic acid, thuringione;lias;Caliciaceae;gbif
Cratiria obscurior;atranorin, connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Cratiria rutilantoides;atranorin, connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Cratiria subtropica;atranorin, connorstictic acid, hafellic acid, neopaludosic acid, neosubpaludosic acid, norstictic acid;lias;Caliciaceae;gbif
Crespoa carneopruinata;atranorin, chloroatranorin;italic;Parmeliaceae;gbif
Crespoa crozalsiana;atranorin, chloroatranorin;italic;Parmeliaceae;gbif
Cresponea leprieuroides;gyrophoric acid, lecanoric acid;lias;Opegraphaceae;gbif
Cresponea litoralis;unknown/unidentified pigment(s);lias;Opegraphaceae;gbif
Crocodia aurata;calycin, pulvinic acid;italic;Lobariaceae;gbif
Crocodia aurata;3β-acetoxyfern-9(11)-en-12-one, 3β-acetoxyfern-9(11)-en-12β-ol, 3β-acetoxyfern-9(11)-en-19β-ol, 3β-hydroxyfern-9(11)-ene-12-one, calycin, fern-9(11)-en-3β,12β-diol, lupeol acetate, pulvinic acid, pulvinic dilactone;lias;Lobariaceae;gbif
Crocynia microphyllina;protocetraric acid;lias;Ramalinaceae;gbif
Crocynia pyxinoides;atranorin, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Ramalinaceae;gbif
Crustospathula cartilaginea;atranorin;lias;Ramalinaceae;gbif
Cryptothecia candida;2'-o-methylanziaic acid, 2'-o-methylperlatolic acid;lias;Arthoniaceae;gbif
Cryptothecia effusa;perlatolic acid, unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Cryptothecia evergladensis;2-o-methylperlatolic acid, lichexanthone, psoromic acid;lias;Arthoniaceae;gbif
Cryptothecia farinosa;psoromic acid, unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Cryptothecia filicina;perlatolic acid;lias;Arthoniaceae;gbif
Cryptothecia irregularis;2'-o-demethylpsoromic acid, confluentic acid, psoromic acid, subpsoromic acid;lias;Arthoniaceae;gbif
Cryptothecia methylmicrophyllinica;5-o-microphyllinic acid;lias;Arthoniaceae;gbif
Cryptothecia miniata;2-o-methylperlatolic acid, unknown/unidentified anthraquinone(s), unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Cryptothecia multipunctata;psoromic acid;lias;Arthoniaceae;gbif
Cryptothecia punctosorediata;gyrophoric acid, unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Cryptothecia queenslandica;confluentic acid, constipatic acid, gyrophoric acid, lecanoric acid, protoconstipatic acid;lias;Arthoniaceae;gbif
Cryptothecia rubrocincta;chiodectonic acid, confluentic acid;lias;Arthoniaceae;gbif
Cryptothecia striata;gyrophoric acid, unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Cryptothecia verruculifera;perlatolic acid;lias;Arthoniaceae;gbif
Cybebe gracilenta;unknown/unidentified compound(s);lias;Coniocybaceae;gbif
Cyphelium brunneum;norstictic acid;lias;Caliciaceae;gbif
Cyphelium chloroconium;norstictic acid, vulpinic acid;lias;Caliciaceae;gbif
Cyphelium inquinans;atranorin, placodiolic acid, unknown/unidentified compound(s), usnic acid;lias;Caliciaceae;gbif
Cyphelium karelicum;placodiolic acid, unknown/unidentified compound(s);lias;Caliciaceae;gbif
Cyphelium lecideinum;atranorin, norstictic acid;lias;Caliciaceae;gbif
Cyphelium lucidum;vulpinic acid;lias;Caliciaceae;gbif
Cyphelium notarisii;rhizocarpic acid;lias;Caliciaceae;gbif
Cyphelium pinicola;rhizocarpic acid;lias;Caliciaceae;gbif
Cyphelium tigillare;epanorin, rhizocarpic acid, unknown/unidentified compound(s);lias;Caliciaceae;gbif
Dactylina arctica;gyrophoric acid, usnic acid;lias;Parmeliaceae;gbif
Dactylina beringica;gyrophoric acid, hiascic acid, lecanoric acid, orsellinic acid, physodalic acid, physodic acid, unknown/unidentified compound(s), usnic acid;lias;Parmeliaceae;gbif
Dactylina chinensis;orsellinic acid, physodalic acid, usnic acid;lias;;gbif
Dactylina endochrysea;dufourin, endochrysin, lichesterinic acid, protolichesterinic acid, usnic acid;lias;Parmeliaceae;gbif
Dactylina ramulosa;usnic, usnic acid;italic;Parmeliaceae;gbif
Dactylina ramulosa;physodalic acid, physodic acid, usnic acid;lias;Parmeliaceae;gbif
Dendrographa alectoroides;fumarprotocetraric acid, protocetraric acid, succinprotocetraric acid;lias;Roccellaceae;gbif
Dendrographa latebrarum;lepraric acid;italic;Roccellaceae;gbif
Dendrographa leucophaea;fumarprotocetraric acid, protocetraric acid, succinprotocetraric acid;lias;Roccellaceae;gbif
Dermatiscum fallax;gyrophoric acid, squamatic acid, thamnolic acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Caliciaceae;gbif
Dibaeis absoluta;baeomycesic acid, barbatic acid, consquamatic acid, squamatic acid, ursolic acid;lias;Icmadophilaceae;gbif
Dibaeis arcuatus;baeomycesic acid, barbatic acid, consquamatic acid, squamatic acid, ursolic acid;lias;Icmadophilaceae;gbif
Dibaeis baeomyces;atranorin, baeomycesic acid;italic;Icmadophilaceae;gbif
Dibaeis baeomyces;atranorin, baeomycesic acid, squamatic acid;lias;Icmadophilaceae;gbif
Dibaeis sorediata;baeomycesic acid, barbatic acid, consquamatic acid, squamatic acid, ursolic acid;lias;Icmadophilaceae;gbif
Dimelaena australiensis;3,5-dichloro-2'-o-methylanziaic acid;lias;Caliciaceae;gbif
Dimelaena californica;norstictic acid, stictic acid;lias;Caliciaceae;gbif
Dimelaena lichenicola;norstictic acid, stictic acid;lias;Caliciaceae;gbif
Dimelaena oreina;fumarprotocetraric acid, gyrophoric acid, hypostictic acid stictic acid, stictic acid, usnic, usnic acid;italic;Caliciaceae;gbif
Dimelaena oreina;constictic acid, cryptostictic acid, fumarprotocetraric acid, gyrophoric acid, hypoconstictic acid, hypostictic acid, lecanoric acid, menegazziaic acid, protocetraric acid, sphaerophorin, stictic acid, usnic acid;lias;Caliciaceae;gbif
Dimelaena radiata;3-chlorodivaricatic acid, 5-chlorodivaricatic acid, divaricatic acid, o-demethylpsoromic acid, occasionally norstictic acid, psoromic acid, virensic acid;italic;Caliciaceae;gbif
Dimelaena radiata;2'-o-demethylpsoromic acid, 3-chlorodivaricatic acid, 5-chlorodivaricatic acid, divaricatic acid, norstictic acid, psoromic acid, virensic acid;lias;Caliciaceae;gbif
Dimelaena thysanota;gyrophoric acid, sphaerophorin, subsphaeric acid;lias;Caliciaceae;gbif
Dimelaena weberi;atranorin;lias;Caliciaceae;gbif
Diorygma agumbense;cryptostictic acid, protocetraric acid, stictic acid;lias;Graphidaceae;gbif
Diorygma albocinerascens;cryptostictic acid, methyl stictic acid, norstictic acid, salazinic acid;lias;Graphidaceae;gbif
Diorygma albovirescens;constictic acid, cryptostictic acid, stictic acid;lias;Graphidaceae;gbif
Diorygma dandeliense;norstictic acid, salazinic acid;lias;Graphidaceae;gbif
Diorygma dealbatum;norstictic acid, salazinic acid;lias;Graphidaceae;gbif
Diorygma excipuloconvergentum;constictic acid, cryptostictic acid, methyl stictic acid, norstictic acid, salazinic acid;lias;Graphidaceae;gbif
Diorygma hieroglyphicum;constictic acid, norstictic acid, stictic acid;lias;Graphidaceae;gbif
Diorygma hololeucum;protocetraric acid;lias;Graphidaceae;gbif
Diorygma junghuhnii;constictic acid, norstictic acid;lias;Graphidaceae;gbif
Diorygma karnatakense;norstictic acid, salazinic acid;lias;Graphidaceae;gbif
Diorygma longilirellatum;norstictic acid;lias;Graphidaceae;gbif
Diorygma manipurense;norstictic acid, salazinic acid;lias;Graphidaceae;gbif
Diorygma megaspermum;consalazinic acid, constictic acid, cryptostictic acid, stictic acid;lias;Graphidaceae;gbif
Diorygma megistosporum;cryptostictic acid, norstictic acid, stictic acid;lias;Graphidaceae;gbif
Diorygma microsporum;norstictic acid;lias;Graphidaceae;gbif
Diorygma panchganiense;methyl stictic acid, norstictic acid, salazinic acid;lias;Graphidaceae;gbif
Diorygma rufosporum;constictic acid, stictic acid;lias;Graphidaceae;gbif
Diorygma rupicola;constictic acid, cryptostictic acid, norstictic acid, stictic acid;lias;Graphidaceae;gbif
Diorygma saxicola;constictic acid, norstictic acid, stictic acid;lias;Graphidaceae;gbif
Diorygma sticticum;cryptostictic acid, hypostictic acid, stictic acid;lias;Graphidaceae;gbif
Diorygma subalbatum;norstictic acid, stictic acid;lias;Graphidaceae;gbif
Diorygma tuberculosum;connorstictic acid, norstictic acid;lias;Graphidaceae;gbif
Diorygma verrucirimosum;norstictic acid, salazinic acid;lias;Graphidaceae;gbif
Diorygma wallamanensis;peristictic acid, stictic acid;lias;Graphidaceae;gbif
Diploicia africana;canesolide, dechlorodiploicin, diploicin, unknown/unidentified secalonic acid derivate(s);lias;Caliciaceae;gbif
Diploicia canescens;atranorin, chloroatranorin;italic;Caliciaceae;gbif
Diploicia canescens;atranorin, buellolide, canesolide, chloroatranorin, dechloro-o-methyldiploicin, dechlorodiploicin, diploicin, isofulgidin, secalonic acid a, secalonic acid b, secalonic acid c;lias;Caliciaceae;gbif
Diploicia subcanescens;atranorin, chloroatranorin, gyrophoric acid;italic;Caliciaceae;gbif
Diploschistes actinostoma;lecanoric acid;italic;Graphidaceae;gbif
Diploschistes actinostomus;diploschistesic acid, gyrophoric acid, lecanoric acid, orsellinic acid;lias;Graphidaceae;gbif
