species;substances;substancess_reference;family;family_reference
Aspicilia grisea;norstictic acid;italic;Megasporaceae;gbif
Aspicilia grisea;norstictic acid;lias;Megasporaceae;gbif
Aspicilia intermutans;norstictic acid;lias;Megasporaceae;gbif
Aspicilia knudsenii;hyposalazinic acid, norstictic acid, stictic acid;lias;Megasporaceae;gbif
Aspicilia laevata;norstictic acid;italic;Megasporaceae;gbif
Aspicilia laevata;norstictic acid, stictic acid;lias;Megasporaceae;gbif
Aspicilia leprosescens;aspicilin;lias;Megasporaceae;gbif
Aspicilia mansourii;aspicilin, unknown/unidentified fatty acid(s);lias;Megasporaceae;gbif
Aspicilia mashiginensis;substictic acid;italic;Megasporaceae;gbif
Aspicilia mauritii;norstictic acid;italic;Megasporaceae;gbif
Aspicilia melanaspis;norstictic acid, unknown/unidentified compound(s);lias;Megasporaceae;gbif
Aspicilia myrinii;norstictic acid;lias;;gbif
Aspicilia olivaceobrunnea;connorstictic acid, norstictic acid;lias;Megasporaceae;gbif
Aspicilia pacifica;norstictic acid, stictic acid;lias;Megasporaceae;gbif
Aspicilia permutata;substictic acid;italic;Megasporaceae;gbif
Aspicilia phaea;unknown/unidentified compound(s);lias;Megasporaceae;gbif
Aspicilia praecrenata;aspicilin;lias;Megasporaceae;gbif
Aspicilia prestensis;norstictic acid;italic;Megasporaceae;gbif
Aspicilia proluta;stictic acid;italic;Megasporaceae;gbif
Aspicilia santamonicae;norstictic acid;lias;Megasporaceae;gbif
Aspicilia serpentinicola;substictic acid;lias;Megasporaceae;gbif
Aspicilia simoënsis;norstictic acid, stictic acid;lias;Pertusariaceae;gbif
Aspicilia sipeana;connorstictic acid, norstictic acid;lias;Megasporaceae;gbif
Aspicilia spermatomanes;norstictic acid;italic;Megasporaceae;gbif
Aspicilia subdepressa;norstictic acid, stictic acid;italic;Megasporaceae;gbif
Aspicilia subdepressa;norstictic acid, stictic acid;lias;Megasporaceae;gbif
Aspicilia substictica;stictic acid, substictic acid;lias;Megasporaceae;gbif
Aspicilia supertegens;aspicilin;italic;Megasporaceae;gbif
Aspicilia tuberculosa;aspicilin;lias;Megasporaceae;gbif
Aspicilia verrucigera;norstictic acid, stictic acid;italic;Megasporaceae;gbif
Aspicilia verrucigera;norstictic acid, stictic acid;lias;Megasporaceae;gbif
Aspicilia verruculosa;stictic acid;italic;Megasporaceae;gbif
Astrothelium cinnamomeum;unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Astrothelium congregans;constictic acid, norstictic acid, stictic acid, usnic acid;lias;Trypetheliaceae;gbif
Astrothelium diplocarpum;unknown/unidentified anthraquinone(s);lias;Rhytismataceae;gbif
Astrothelium galbineum;lichexanthone, unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Astrothelium interjectum;lichexanthone;lias;Trypetheliaceae;gbif
Astrothelium leucothelium;lichexanthone;lias;Trypetheliaceae;gbif
Astrothelium mosigii;constictic acid, cryptostictic acid, norstictic acid, stictic acid, usnic acid;lias;Trypetheliaceae;gbif
Astrothelium subaequans;unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Astrothelium versicolor;lichexanthone, unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Athallia alnetorum;emodin, fallacinal, parietin, teloschistin;italic;Teloschistaceae;gbif
Athallia brachyspora;emodin, fallacinal, parietin, teloschistin;italic;Teloschistaceae;gbif
Athallia cerinella;emodin, fallacinal, parietin, teloschistin;italic;Teloschistaceae;gbif
Athallia cerinelloides;emodin, fallacinal, parietin, teloschistin;italic;Teloschistaceae;gbif
Athallia holocarpa;emodin, fallacinal, parietin, teloschistin;italic;Teloschistaceae;gbif
Athallia inconnexa;emodin, fallacinal, parietin, teloschistin;italic;Teloschistaceae;gbif
Athallia necator;emodin, fallacinal, parietin, teloschistin;italic;Teloschistaceae;gbif
Athallia pyracea;emodin, fallacinal, parietin, teloschistin;italic;Teloschistaceae;gbif
Athallia raesaenenii;emodin, fallacinal, parietin, parietinic acid, teloschistin;italic;Teloschistaceae;gbif
Athallia saxifragarum;emodin, fallacinal, parietin, teloschistin;italic;Teloschistaceae;gbif
Athallia skii;emodin, fallacinal, parietin, parietinic acid, teloschistin;italic;Teloschistaceae;gbif
Athallia vitellinaria;emodin, fallacinal, teloschistin;italic;Teloschistaceae;gbif
Australiaena streimannii;4,7-dichloronorlichexanthone, 5-chlorolichexanthone, conlobaric acid, gyrophoric acid, lecanoric acid, lobaric acid, perlatolic acid;lias;Caliciaceae;gbif
Austrographa skyrinica;skyrin (rhodophyscin);lias;Roccellaceae;gbif
Austrolecia antarctica;connorstictic acid, norstictic acid;lias;Catillariaceae;gbif
Austroparmelina elixiana;atranorin, chloroatranorin, lecanoric acid, orsellinic acid;lias;Parmeliaceae;gbif
Austroparmelina pallida;atranorin, chloroatranorin, lecanoric acid, orsellinic acid;lias;Parmeliaceae;gbif
Austroparmelina whinrayi;atranorin, chloroatranorin, lecanoric acid, orsellinic acid;lias;Parmeliaceae;gbif
Austroroccella gayana;roccellic acid;lias;Roccellaceae;gbif
Bacidia absistens;unknown/unidentified compound(s);lias;Ramalinaceae;gbif
Bacidia aggregatula;atranorin;lias;Ramalinaceae;gbif
Bacidia arceutina;unknown/unidentified pigment(s);lias;Ramalinaceae;gbif
Bacidia biatorina;atranorin;lias;Ramalinaceae;gbif
Bacidia caesiovirens;atranorin;lias;Ramalinaceae;gbif
Bacidia campalea;atranorin, zeorin (hopane-6α,22-diol);lias;Ramalinaceae;gbif
Bacidia carneoglauca;lichexanthone;lias;Ramalinaceae;gbif
Bacidia corisopitensis;constictic acid, cryptostictic acid, norstictic acid, stictic acid, usnic acid;lias;Ramalinaceae;gbif
Bacidia diffracta;atranorin, zeorin (hopane-6α,22-diol);lias;Ramalinaceae;gbif
Bacidia fraxinea;atranorin;italic;Ramalinaceae;gbif
Bacidia heterochroa;atranorin;italic;Ramalinaceae;gbif
